rank,nct_id,title,conditions,interventions
520,NCT03301298,Placebo-Controlled Single Dose Study to Evaluate Safety and Pharmacokinetics of SXC-2023 in Healthy Volunteers,Healthy,Drug: SXC-2023|Drug: Placebo oral capsule
564,NCT03268941,"A Study to Evaluate the Safety, Pharmacokinetics (PK) and Pharmacodynamics (PD) for TAK-906 in Participants With Diabetes Mellitus and Gastroparesis (DG) or With Idiopathic Gastroparesis (IG)","Diabetes Mellitus and Gastroparesis, Idiopathic Gastroparesis",Drug: TAK-906 Maleate|Drug: Metaclopramide|Drug: TAK-906 Maleate Placebo
575,NCT03261167,A Phase III Study to Evaluate the Efficacy and Safety of GSK1358820 in Subjects With Post-stroke Upper Limb Spasticity,"Spasticity, Post-Stroke",Drug: Botulinum toxin A (GSK1358820)|Drug: Placebo
608,NCT03245762,Intranasal Oxytocin for Infants With Prader-Willi Syndrome,Prader-Willi Syndrome,Drug: Oxytocin|Drug: Placebo
609,NCT03245619,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics Investigation of GSK3335065 Intravenous (IV) Infusion in Healthy Adults","Pancreatitis, Acute Necrotizing",Drug: GSK3335065|Drug: Placebo
622,NCT03239483,Safety and Pharmacokinetic Study of Dapivirine Gel (0.05%) Administered Rectally to HIV-1 Seronegative Adults,HIV Infections,Drug: Dapivirine gel|Drug: Placebo gel
627,NCT03237156,Phase 1 TAK-906 Single and Multiple Ascending Dose Study in Japanese Healthy Male Participants,Japanese Healthy Adult Male Participants,Drug: TAK-906|Drug: TAK-906 Placebo
632,NCT03235726,Study of Safety and Drug Levels of CCI15106 Inhalation Powder in Healthy Adults and Adults With Moderate Chronic Obstructive Pulmonary Disease. Study of CCI15106 Levels in People Standing Near the Person Inhaling the Drug,"Pulmonary Disease, Chronic Obstructive",Drug: CCI15106|Drug: Placebo
643,NCT03231943,GSK3640254 First Time in Human (FTIH) Study in Healthy Volunteers,"Infection, Human Immunodeficiency Virus|HIV Infections",Drug: GSK3640254|Drug: Placebo
649,NCT03228433,"A Study to Evaluate Safety, Tolerability and Pharmacokinetics of Ascending Oral Single Dose of TAK-418 in Healthy Participants",Healthy Participants,Drug: TAK-418|Drug: TAK-418 Placebo
657,NCT03224325,"A Study to Evaluate Safety, Tolerability, and Pharmacokinetics of Escalating Multiple Doses of TAK-831 in Healthy Participants",Healthy,Drug: TAK-831 Tablet T2|Drug: Placebo|Drug: TAK-831 Suspension
755,NCT03171415,"Evaluation of Safety, Efficacy and Thermogenesis-induction of RZL-012 in Overweight and Obese Volunteers",Obesity|Weight Loss|Overweight and Obesity,Drug: RZL-012|Drug: Placebo
756,NCT03170609,"A Phase 1/2, Randomized, Placebo-controlled, Observer-blinded Trial To Evaluate The Safety, Tolerability, And Immunogenicity Of A Multivalent Group B Streptococcus Vaccine In Healthy Adults 18 To 49 Years Of Age",Group B Streptococcal Infections,Biological: Multivalent group B streptococcus vaccine|Biological: Placebo
757,NCT03170544,Single Ascending Dose Study of MK-1092 in Healthy Participants and in Participants With Type 1 and Type 2 Diabetes Mellitus (MK-1092-001),Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus,"Drug: MK-1092, 4.0 nmol/kg|Drug: MK-1092, 8.0 nmol/kg|Drug: MK-1092, 16 nmol/kg|Drug: MK-1092, 32 nmol/kg|Drug: MK-1092, 64 nmol/kg|Drug: Glargine 3.0 nmol/kg|Drug: Lispro 1.2 nmol/kg|Drug: Placebo to glargine|Drug: Placebo to MK-1092|Other: Dextrose|Biological: Insulin"
759,NCT03170193,AMG 529 First in Human Study,Cardiovascular,Drug: AMG 529|Drug: Placebo
787,NCT03159611,Efficacy and Safety Clinical Trial of Tenoten for Children Liquid Dosage Form Therapy in Infants With Sequelae of Perinatal Brain Injury,Sequelae of Perinatal Brain Injury,Drug: Tenoten for children|Drug: Placebo
791,NCT03158038,Study to Evaluate the Safety of 1 New 6:2 Influenza Virus Reassortant in Adults for the 2017-2018 Season,Influenza|Healthy,Biological: Monovalent Influenza Vaccine|Other: Placebo
798,NCT03154086,"A Phase 1, First Time in Human (FTIH) Study to Evaluate GSK3352589, a REarranged During Transfection (RET) Growth Factor Receptor Tyrosine Kinase Inhibitor, in Healthy Volunteers",Irritable Bowel Syndrome,Drug: GSK3352589|Drug: Matching Placebo
807,NCT03150719,"A Study to Evaluate Safety, Efficacy, and Tolerability of TEZ/IVA in Orkambi® (Lumacaftor/Ivacaftor) -Experienced Subjects With Cystic Fibrosis (CF)",Cystic Fibrosis,Drug: Tezacaftor/Ivacaftor|Drug: Ivacaftor|Drug: Placebo
839,NCT03136380,Study of Danirixin in Japanese Healthy Elderly Male Subjects,"Pulmonary Disease, Chronic Obstructive",Drug: GSK1325756H|Drug: Placebo
860,NCT03131167,Study of SHP639 Eye Drops in Adults With High Eye Pressure or Primary Open-angle Glaucoma,Primary Open-angle Glaucoma (POAG)|Ocular Hypertension,Drug: SHP639 (n=60)|Drug: Placebo Comparator (n=24)
861,NCT03129321,"Therapeutic Equivalence and Safety of Two Econazole Nitrate Cream, 1% Products in Tinea Pedis",Tinea Pedis,"Drug: Econazole Nitrate Cream, 1%|Drug: Placebo"
894,NCT03123471,A Study of the Efficacy and Safety of Apremilast (CC-10004) in Subjects With Moderate to Severe Plaque Psoriasis of the Scalp,Psoriasis,Drug: Apremilast|Other: Placebo
907,NCT03119649,A Study to Evaluate Multiple Doses of GLPG2222 in Adult Subjects With Cystic Fibrosis,Cystic Fibrosis,Drug: GLPG2222 50 mg|Drug: GLPG2222 100 mg|Drug: Placebo|Drug: GLPG2222 200 mg|Drug: GLPG2222 400 mg
917,NCT03116698,"A Study to Evaluate Two Concentrations of DFD-07 Cream, in Subjects With Actinic Keratosis (AK) of the Face and/or Scalp Over a 12-week Treatment Period",Actinic Keratosis (AK),Drug: Low dose DFD07 once daily|Drug: High dose DFD07 once daily|Drug: High dose DFD07 twice daily|Drug: Placebo twice daily
952,NCT03102034,"Evaluating the Infectivity, Safety, and Immunogenicity of a Single Dose of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine (D46/NS2/N/ΔM2-2-HindIII) in RSV-Seronegative Infants 6 to 24 Months of Age",Respiratory Syncytial Virus Infections,Biological: D46/NS2/N/ΔM2-2-HindIII|Biological: Placebo
973,NCT03097341,Safety and Tolerability Study of Xisomab 3G3 in Healthy Adult Subjects,Thrombosis,Drug: xisomab 3G3- Dose 1|Drug: xisomab 3G3-Dose 2|Drug: xisomab 3G3-Dose 3|Drug: xisomab 3G3- Dose 4|Other: Placebo
978,NCT03095651,Multiple Ascending Dose Study of MK-5160 in Participants With Type 1 and Type 2 Diabetes Mellitus (MK-5160-002),Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus,Biological: MK-5160 16 nmol/kg|Biological: MK-5160 32 nmol/kg|Biological: MK-5160 64 nmol/kg|Biological: Glargine 0.4 U/kg|Biological: Placebo to Glargine|Biological: Placebo to MK-5160|Drug: Dextrose|Biological: Glargine 0.6 U/kg
980,NCT03095599,Seasonal Trivalent Inactivated Split Virion Influenza Vaccine Clinical Trial (IVACFLU-S) - PHASE 2/3,"Influenza, Human",Biological: IVACFLU-S|Other: Placebo
989,NCT03091777,Study Evaluating the Equivalence of GDC-229 and Metronidazole Vaginal Gel 0.75% in the Treatment of Bacterial Vaginosis,Bacterial Vaginosis,Drug: GDC-229|Drug: Metronidazole Vaginal Gel 0.75%|Drug: Placebo
997,NCT03090100,A Study to Evaluate the Comparative Efficacy of CNTO 1959 (Guselkumab) and Secukinumab for the Treatment of Moderate to Severe Plaque-type Psoriasis,Psoriasis,Drug: Guselkumab|Drug: Placebo|Drug: Secukinumab
1026,NCT03075410,First Time in Human (FTIH) Safety and Pharmacokinetics (PK) Study of GSK3036656 in Healthy Subjects,Tuberculosis,Drug: GSK3036656|Drug: Placebo
1081,NCT03055195,Efficacy and Safety Study of Mepolizumab in Subjects With Moderate to Severe Atopic Dermatitis,"Dermatitis, Atopic",Drug: Mepolizumab 100 mg|Drug: Placebo matching mepolizumab
1082,NCT03054857,The Effect of Dexmedetomidine Infusion on Post-operative Cognitive Function and Oxidative Stress in Cardiac Surgery,Oxidative Stress|Cognition Disorders,Drug: Dexmedetomidine|Drug: Placebo
1087,NCT03054428,"Efficacy and Safety of Dupilumab in Participants ≥12 to <18 Years of Age, With Moderate-to-severe Atopic Dermatitis","Moderate-to-Severe Atopic Dermatitis|Dermatitis, Dermatitis Atopic|Eczema, Skin Diseases, Skin|Diseases Genetic, Genetic|Diseases Inborn, Skin|Disease, Eczematous Skin|Hypersensitivity, Immediate|Hypersensitivity, Immune System Diseases|Dermatitis, Atopic",Drug: Dupilumab|Drug: Placebo
1117,NCT03045887,"Safety, Tolerability and Pharmacokinetics of Single and Repeat Doses of GSK2292767 in Healthy Participants Who Smoke Cigarettes",Asthma,Drug: GSK2292767 50 μg|Drug: GSK2292767 500 μg|Drug: Placebo
1150,NCT03037541,Cryosurgery and Cream Combination for Actinic Keratosis,Actinic Keratosis,Drug: Carac Cream|Drug: Placebo Cetaphil cream
1170,NCT03032510,Efficacy and Safety Study of Eravacycline Compared With Ertapenem in Participants With Complicated Urinary Tract Infections,Complicated Urinary Tract Infections,Drug: Eravacycline|Drug: Ertapenem|Drug: Placebo|Drug: Levofloxacin
1191,NCT03028129,Prevention of Tuberculosis in Prisons,"Tuberculosis, Pulmonary|Antibiotic Prophylaxis",Drug: Isoniazid 900 milligrams|Drug: Placebo
1258,NCT03004924,Treatment of Bacterial Conjunctivitis With SHP640 Compared to PVP-Iodine and Placebo,Bacterial Conjunctivitis,Drug: SHP640|Drug: PVP-I 0.6%|Drug: Placebo
1261,NCT03004638,Multiple Ascending Doses of MEDI6012 in Subjects With Stable Atherosclerotic Cardiovascular Disease,Atherosclerosis|Cardiovascular Disease,Drug: MEDI6012 40 mg|Drug: Placebo|Drug: MEDI6012 120 mg|Drug: MEDI6012 300 mg|Drug: Placebo IV Push|Drug: MEDI6012 IV Push
1276,NCT03000608,A Trial of a Botanical Drug (EISO) for Treatment of Mild-to-Moderate Plaque Psoriasis,Plaque Psoriasis,Drug: SAN021 Serum|Drug: SAN021 Placebo
1283,NCT02998996,"Study to Assess the Safety, Tolerability and Immune Response Following Vaccination With Immunose™ FLU","Influenza, Human","Biological: 15 µg HA/strain and 1% Endocine™|Biological: 15 µg HA/strain and 2% Endocine™|Biological: 15 µg HA/strain|Biological: intramuscular comparator|Biological: intranasal comparator|Biological: Placebo, Saline"
1347,NCT02982187,"A Clinical Study Assessing Critical Errors, Training/Teaching Time, and Preference Attributes of the ELLIPTA® Dry Powder Inhaler, in Comparison to Combinations of Dry Powder Inhalers Used to Provide Triple Therapy, in Patients With Chronic Obstructive Pulmonary Disease","Pulmonary Disease, Chronic Obstructive",Device: Placebo ELLIPTA|Device: Placebo DISKUS|Device: Placebo TURBUHALER|Device: Placebo HANDIHALER|Other: PQ1|Other: PQ2|Other: PQ3|Other: PQ4
1358,NCT02979613,Efficacy and Safety of Switching From TDF to TAF in Adults With Chronic Hepatitis B Who Are Virologically Suppressed,Chronic Hepatitis B,Drug: TAF|Drug: TDF|Drug: TAF Placebo|Drug: TDF Placebo
1362,NCT02979054,Performance and Safety Assessment of T4020 in Managing Corneal Epithelial Defect Following Epi-off Accelerated Crosslinking,Keratoconus,Device: T4020|Device: Placebo
1369,NCT02975557,Brimonidine Eye Drops for Treatment of Ocular Graft-vs-Host Disease (oGVHD),Dry Eye|Ocular Graft vs Host Disease|Meibomian Gland Dysfunction,Drug: Brimonidine 0.15%|Drug: Brimonidine 0.075%|Drug: Placebo
1411,NCT02967510,"Study Evaluating the Efficacy and Safety of Three Formulations of Ultra-low Dose Estriol Vaginal Gel (0.005%, 0.002%, 0.0008% Estriol Vaginal Gel) for the Treatment of Vaginal Dryness in Postmenopausal Women With Vulvovaginal Atrophy",Vaginal Atrophy,Drug: Estriol|Drug: Placebo
1450,NCT02959983,Efficacy of Eluxadoline in the Treatment of Irritable Bowel Syndrome With Diarrhea in Patients With Inadequate Control of Symptoms With Prior Loperamide Use,Irritable Bowel Syndrome With Diarrhea,Drug: Eluxadoline|Drug: Placebo
1456,NCT02958982,"Safety, Tolerability and Pharmacokinetics of Oral Doses of RP3128 of Rhizen Pharmaceuticals",Healthy Volunteers|Asthma,Drug: RP3128|Drug: Placebo
1463,NCT02956837,"A Study to Rank Different Dosages of Antigen of GlaxoSmithKline (GSK) Biologicals' Investigational Respiratory Syncytial Virus (RSV) Vaccine (GSK3003891A), Based on Their Immune Response and Safety, When Administered to Healthy Adult Women",Respiratory Syncytial Virus Infections,Biological: RSV Vaccine (GSK3003891A) formulation 1|Biological: RSV Vaccine (GSK3003891A) formulation 2|Biological: RSV Vaccine (GSK3003891A) formulation 3|Drug: Placebo (Formulation buffer S9b)
1487,NCT02951312,"Assessment of the Safety and Ability of a Once-a-day Dose of an Orally Inhaled Medicine [ie, Glycopyrrolate Inhalation Solution = GIS] to Improve Airflow in the Lungs When Delivered With an Electronic eFlow Nebulizer System in Patients With Chronic Obstructive Pulmonary Disease (COPD)",Chronic Obstructive Pulmonary Disease,Drug: Glycopyrrolate Inhalation Solution 25mg|Drug: Glycopyrrolate Inhalation Solution 75mg|Drug: Glycopyrrolate Inhalation Solution 200mg|Drug: Glycopyrrolate Inhalation Solution 200mg Jet|Drug: Glycopyrrolate Inhalation Solution 500mg|Drug: Glycopyrrolate Inhalation Solution1000mg|Drug: Placebo
1521,NCT02943460,"Safety, Tolerability, and Efficacy of Cilofexor in Adults With Primary Sclerosing Cholangitis Without Cirrhosis",Primary Sclerosing Cholangitis,Drug: Cilofexor|Drug: Placebo to match Cilofexor
1530,NCT02940626,Prevention of S. Aureus Pneumonia Study in Mechanically Ventilated Subjects Who Are Heavily Colonized With S. Aureus.,"Pneumonia, Ventilator-associated|Pneumonia, Staphylococcal",Drug: ASN100|Drug: Placebo
1534,NCT02939326,Evaluate Safety and Efficacy of a Single Treatment Cycle of EB-001 in Subjects With Glabellar Frown Lines,Glabellar Frown Lines (GL),Drug: EB-001 injection|Drug: Placebo injection
1556,NCT02935192,Phase 3 Trial of Serbian Seasonal Influenza Vaccine,Influenza,Biological: Vaccine|Other: Placebo
1563,NCT02933879,"Randomized, Placebo-Controlled, Double-Blind, Parallel-Group, Multi-Site Phase 2b Clinical Study",Onychomycosis,Drug: NVXT topical|Drug: Placebo (Vehicle) Topical
1574,NCT02932462,Study to Evaluate Efficacy and Safety of the Topical Product in Patients With Mild to Severe Scalp Psoriasis,Scalp Psoriasis,Drug: DSXS|Drug: Placebo
1589,NCT02927457,"Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Clinical Effect of GSK2646264 in Cutaneous Lupus Erythematosus Subjects","Lupus Erythematosus, Cutaneous",Drug: GSK2646264 1%|Drug: Placebo
1688,NCT02905331,Efficacy and Safety Study of Guselkumab in the Treatment of Participants With Moderate to Severe Plaque-Type Psoriasis,Psoriasis,Drug: Guselkumab|Drug: Placebo
1706,NCT02898662,AZD1419 Ph2a Study,Asthma,Drug: AZD1419|Drug: Placebo
1717,NCT02894840,Safety and Immunogenicity of GPO Seasonal Trivalent Inactivated Influenza Vaccine in Healthy Thai Adults,Influenza,Biological: an inactivated influenza vaccine|Other: Placebo
1728,NCT02890381,"Evaluating the Infectivity, Safety and Immunogenicity of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine (RSV LID cp ΔM2-2) in RSV-Seronegative Infants 6 to 24 Months of Age",Respiratory Syncytial Virus Infections,Biological: RSV LID cp ΔM2-2 Vaccine|Biological: Placebo
1733,NCT02886702,A Study Comparing Tazarotene Cream 0.05% to TAZORAC® (Tazarotene) Cream 0.05% and Both to a Placebo Control in the Treatment of Plaque Psoriasis,Plaque Psoriasis,Drug: Tazarotene Cream 0.05%|Drug: TAZORAC® (tazarotene) Cream 0.05%|Drug: Placebo
1743,NCT02882854,Guanfacine for PONV and Pain After Sinus Surgery,"Postoperative Nausea and Vomiting|Pain, Postoperative",Drug: Guanfacine|Drug: Placebo
1763,NCT02878330,A Study to Evaluate the Safety and Efficacy of MEDI8897 for the Prevention of Medically Attended RSV LRTI in Healthy Preterm Infants.,Respiratory Syncytial Virus Infections,Drug: MEDI8897|Drug: Placebo
1782,NCT02873702,Efficacy and Safety of Dexlansoprazole in Healing and Maintaining Healing of Erosive Esophagitis,Erosive Esophagitis,Drug: Dexlansoprazole|Drug: Lansoprazole|Drug: Placebo
1787,NCT02873221,An Extension Study to Evaluate the Long-Term Safety and Tolerability of Ubrogepant in the Treatment of Migraine,"Migraine, With or Without Aura",Drug: Ubrogepant|Drug: Placebo-matching Ubrogepant|Drug: Usual Care
1795,NCT02871479,A Trial of a Botanical Drug Containing East Indian Sandalwood Oil (EISO) For Treatment of Atopic Dermatitis,Atopic Dermatitis|Eczema,Drug: SAN007 5% cream|Drug: Placebo|Drug: SAN007 10% cream
1806,NCT02867709,"Efficacy, Safety, and Tolerability of Oral Ubrogepant in the Acute Treatment of Migraine","Migraine, With or Without Aura",Drug: Ubrogepant|Drug: Placebo-matching Ubrogepant
1836,NCT02858492,"Safety and Tolerability, Pharmacokinetics (PK), Pharmacodynamics (PD) and Efficacy of Repeat Doses of GSK2982772 in Subjects With Moderate to Severe Rheumatoid Arthritis (RA)","Arthritis, Rheumatoid",Drug: GSK2982772 60 mg|Drug: Placebo
1850,NCT02854631,Selonsertib in Combination With Prednisolone Versus Prednisolone Alone in Participants With Severe Alcoholic Hepatitis (AH),Alcoholic Hepatitis (AH),Drug: Selonsertib|Drug: Prednisolone|Drug: Placebo
1851,NCT02854605,"Evaluating the Safety, Tolerability, and Efficacy of GS-9674 in Participants With Nonalcoholic Steatohepatitis (NASH)",Nonalcoholic Steatohepatitis (NASH),Drug: GS-9674|Drug: Placebo to match GS-9674
1909,NCT02838901,Dietary Nitrate Supplements and Ischemic Stroke Recovery,Stroke|Ischemic Stroke|Cerebrovascular Accident,Drug: Beet it Beetroot juice|Drug: Beet It Placebo Beetroot juice
1919,NCT02836249,Tenofovir Alafenamide Versus Tenofovir Disoproxil Fumarate for Treatment of Hepatitis B e Antigen-Positive Hepatitis B (China),HBV|Chronic HBV Infections,Drug: TAF|Drug: TDF|Drug: TAF Placebo|Drug: TDF Placebo
1920,NCT02836236,Tenofovir Alafenamide Versus Tenofovir Disoproxil Fumarate for Treatment of Hepatitis B e Antigen-Negative Hepatitis B (China),HBV|Chronic HBV Infections,Drug: TAF|Drug: TDF|Drug: TAF Placebo|Drug: TDF Placebo
1952,NCT02828020,"Efficacy, Safety, and Tolerability Study of Oral Ubrogepant in the Acute Treatment of Migraine","Migraine, With or Without Aura",Drug: Ubrogepant|Drug: Placebo-matching Ubrogepant
1981,NCT02818569,Repurposing Dexmedetomidine as an Orally Administered Sleep Therapeutic,Sleep|Insomnia,Drug: Dexmedetomidine|Other: Saline Placebo
1990,NCT02817516,"A Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics Study of TAK-828 Escalating Multiple-Doses in Healthy Participants",Healthy Volunteers,Drug: TAK-828|Drug: Placebo
1998,NCT02814656,"Safety, Tolerability and Pharmacokinetics of Multiple Ascending Doses of AZD8871 in Healthy Subjects",Chronic Obstructive Pulmonary Disease,Drug: AZD8871|Drug: Placebo
2000,NCT02814565,Cyclobenzaprine HCl Extended Release 15 mg Versus Placebo in Treatment of Cervical and/or Lower Back Pain Due to Muscle Spasms of Local Origin,Neck Pain|Back Pain|Spasm,Drug: Cyclobenzaprine HCl|Drug: Placebo
2006,NCT02813551,ToRsemide for pOstpartum HYpertension,Preeclampsia,Drug: Torsemide|Drug: Placebo
2057,NCT02798978,"A Phase I, 2-part (Part 1 Being a Single Dose Escalation and Part 2, a Parallel Group) Study of Toll-like Receptor (TLR4) Agonist (GSK1795091) in Healthy Subjects",Cancer|Neoplasms,Drug: GSK1795091|Drug: Placebo
2064,NCT02797522,A Study of ARC-521 Injection in Normal Adult Volunteers and Patients With Chronic Hepatitis B (CHB),Hepatitis B,Drug: ARC-521 Injection|Other: Placebo|Drug: antihistamine|Drug: acetaminophen|Drug: entecavir|Drug: tenofovir
2077,NCT02794870,"Evaluating the Infectivity, Safety and Immunogenicity of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine in RSV-Seronegative Infants 6 to 24 Months of Age",Respiratory Syncytial Virus Infections,Biological: RSV LID ΔM2-2 1030s vaccine|Biological: Placebo
2084,NCT02793232,"Clinical Trial In Healthy Volunteers And Health Elderly Volunteers To Evaluate The Safety, Tolerability And Blood Concentration After Single And Multiple Escalating Oral Doses Of PF-06751979.",Healthy Subjects,Drug: PF-06751979 single dose|Drug: Placebo single dose|Drug: PF-06751979 multiple ascending dose|Drug: Placebo multiple ascending dose|Drug: PF-06751979 multiple dose|Drug: Placebo multiple elderly dose
2113,NCT02786927,Preference Attributes of ELLIPTA Dry Powder Inhaler (DPI) and HANDIHALER DPI in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Drug: Placebo ELLIPTA device|Drug: Placebo capsules for use in HANDIHALER device|Other: Inhaler Preference Questionnaire Version 1|Other: Inhaler Preference Questionnaire Version 2
2125,NCT02784704,Efficacy and Safety Study of Eravacycline Compared With Meropenem in Complicated Intra-abdominal Infections,Complicated Intra-abdominal Infections|Complicated Appendicitis,Drug: Eravacycline|Drug: Meropenem|Drug: Placebo
2130,NCT02784106,Safety and Efficacy Study of M2951 in Participants With Rheumatoid Arthritis,Rheumatoid Arthritis,Drug: Placebo|Drug: M2951
2136,NCT02782325,Safety and Efficacy of Fecal Microbiome Transplantation (FMT) in the Treatment of Antibiotic Dependent Pouchitis (ADP),Pouchitis,"Biological: Active FMT, then open label FMT|Biological: Placebo FMT, then open label FMT"
2151,NCT02780388,A Phase 1b Study of MEDI4920 in Participants With Adult-onset Rheumatoid Arthritis,Adult Onset Rheumatoid Arthritis,Drug: VIB4920|Other: Placebo
2153,NCT02780167,Study To Evaluate Pf-04965842 In Subjects With Moderate To Severe Atopic Dermatitis,Atopic Dermatitis,Drug: PF-04965842|Drug: Placebo
2172,NCT02776033,"Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of Repeat Doses of GSK2982772 in Subjects With Psoriasis",Psoriasis,Drug: GSK2982772|Drug: Placebo
2173,NCT02775916,"Safety, Pharmacokinetics, and Preliminary Efficacy Study of CDZ173 in Patients With Primary Sjögren's Syndrome",Primary Sjögren's Syndrome,Drug: CDZ173|Drug: Placebo
2204,NCT02769065,Study of TAK-071 in Healthy Participants and Participants With Mild Cognitive Impairment/Mild Alzheimer Disease and Relative Bioavailability (BA) and Food Effect of TAK-071 in Healthy Participants,Alzheimer Disease|Healthy Volunteers,Drug: TAK-071|Drug: Donepezil|Drug: TAK-071 Placebo|Drug: Donepezil Placebo
2239,NCT02762500,An Efficacy and Safety Study of LYC-30937-EC in Subjects With Active Ulcerative Colitis,"Colitis, Ulcerative",Drug: LYC-30937-EC|Drug: Placebo
2262,NCT02758613,A Study of Baricitinib (LY3009104) in Healthy Chinese Participants,Healthy,Drug: Baricitinib|Drug: Placebo
2275,NCT02757105,"Randomized, Double-Blind, Placebo-Controlled Phase 2 Trial of BEKINDA (Ondansetron 12 mg Bimodal Release Tablets) for Diarrhea Predominant Irritable Bowel Syndrome (IBS-D)",Irritable Bowel Syndrome With Diarrhea,Drug: BEKINDA|Drug: Placebo
2312,NCT02751424,"A Study to Evaluate Safety, Tolerability and Pharmacokinetics of Ascending Intravenous Single Dose and Repeat Dose of GSK3342830","Infections, Bacterial",Drug: GSK3342830|Drug: Placebo
2331,NCT02748863,Study of Secukinumab With 2 mL Pre-filled Syringes,Psoriasis,Drug: Placebo|Drug: Secukinumab 2 mL form|Drug: Secukinumab 1 mL form
2346,NCT02745392,Safety and Efficacy of ZP-Zolmitriptan Intracutaneous Microneedle Systems for the Acute Treatment of Migraine,Acute Migraine,Drug: ZP-Zolmitriptan|Drug: Placebo
